ཕྱི  རོ ལ 	འདོགས 	བཀུར་བ 	ཤ་སྟག་ལགས 	།_། 	ཕྱི 	རོ	ལ 	རྣམས་ཀྱི 	སྤྱོད་པ་ནི 	།_། 	གཞན 	bstod tshogs ka_.txt	འདོགས  བཀུར་བ  ཤ་སྟག་ལགས  །_།  ཕྱི  རོ ལ  རྣམས་ཀྱི  སྤྱོད་པ་ནི  །_།  གཞན 
 རོ  །_། 						རོ 	།_། 	ཡང་ན 	གཟུགས་སྐུ 	-འི 	མཐའ 	bstod tshogs ka_.txt	     རོ  །_།  ཡང་ན  གཟུགས་སྐུ  -འི  མཐའ 
 རོ ལ་ཏུ 						རོ	ལ་ཏུ 	ཕྱིན་པ 	སྟོན་པ 	ཇི་སྙེད་པ་ཡིན་ནོ 	།_། 	bstod tshogs ka_.txt	     རོ ལ་ཏུ  ཕྱིན་པ  སྟོན་པ  ཇི་སྙེད་པ་ཡིན་ནོ  །_། 
 རོ ལ་ཏུ 						རོ	ལ་ཏུ 	ཕྱིན་པ་ནི 	བཅུ་སྟེ 	།_ 	འདི 	bstod tshogs ka_.txt	     རོ ལ་ཏུ  ཕྱིན་པ་ནི  བཅུ་སྟེ  །_  འདི 
 རོ ལ་ཏུ 						རོ	ལ་ཏུ 	ཕྱིན་པ 	དག་གོ 	།_། 	དེ་ལ 	bstod tshogs ka_.txt	     རོ ལ་ཏུ  ཕྱིན་པ  དག་གོ  །_།  དེ་ལ 
 རོ ལ་ཏུ 						རོ	ལ་ཏུ 	ཕྱིན་པ 	བསྟན་ཏོ 	།_། 	རིགས 	bstod tshogs ka_.txt	     རོ ལ་ཏུ  ཕྱིན་པ  བསྟན་ཏོ  །_།  རིགས 
 རོ ལ་ཏུ 						རོ	ལ་ཏུ 	ཕྱིན་པ 	བསྟན་ཏོ 	།_། 	གང 	bstod tshogs ka_.txt	     རོ ལ་ཏུ  ཕྱིན་པ  བསྟན་ཏོ  །_།  གང 
 རོ ལ་ཏུ 						རོ	ལ་ཏུ 	ཕྱིན་པ 	བསྟན་ཏོ 	།_། 	བདག 	bstod tshogs ka_.txt	     རོ ལ་ཏུ  ཕྱིན་པ  བསྟན་ཏོ  །_།  བདག 
 རོ ལ་ཏུ 						རོ	ལ་ཏུ 	ཕྱིན་པ 	བསྟན་ཏོ 	།_། 	སྦྱིན 	bstod tshogs ka_.txt	     རོ ལ་ཏུ  ཕྱིན་པ  བསྟན་ཏོ  །_།  སྦྱིན 
 རོ ལ་ཏུ 						རོ	ལ་ཏུ 	ཕྱིན་པ 	བསྟན་ཏོ 	།_། 	བདག 	bstod tshogs ka_.txt	     རོ ལ་ཏུ  ཕྱིན་པ  བསྟན་ཏོ  །_།  བདག 
 རོ ལ་ཏུ 						རོ	ལ་ཏུ 	ཕྱིན་པ 	བསྟན་ཏོ 	།_། 	སྲིད་དང 	bstod tshogs ka_.txt	     རོ ལ་ཏུ  ཕྱིན་པ  བསྟན་ཏོ  །_།  སྲིད་དང 
 རོ ལ་ཏུ 						རོ	ལ་ཏུ 	ཕྱིན་པ 	བསྟན་ཏོ 	།_། 	དུས 	bstod tshogs ka_.txt	     རོ ལ་ཏུ  ཕྱིན་པ  བསྟན་ཏོ  །_།  དུས 
 རོ ལ་ཏུ 						རོ	ལ་ཏུ 	ཕྱིན་པ 	བསྟན་ཏོ 	།_། 	མཚན་མོ 	bstod tshogs ka_.txt	     རོ ལ་ཏུ  ཕྱིན་པ  བསྟན་ཏོ  །_།  མཚན་མོ 
 རོ ལ་ཏུ 						རོ	ལ་ཏུ 	ཕྱིན་པ 	བསྟན་ཏོ 	།_། 	འཇིག 	bstod tshogs ka_.txt	     རོ ལ་ཏུ  ཕྱིན་པ  བསྟན་ཏོ  །_།  འཇིག 
 རོ ལ་ཏུ 						རོ	ལ་ཏུ 	ཕྱིན་པ 	བསྟན་ཏོ 	།_། 	མོས་པ 	bstod tshogs ka_.txt	     རོ ལ་ཏུ  ཕྱིན་པ  བསྟན་ཏོ  །_།  མོས་པ 
 རོ ལ་ཏུ 						རོ	ལ་ཏུ 	ཕྱིན་པའོ 	།_། 	འཇིག 	རྟེན 	bstod tshogs ka_.txt	     རོ ལ་ཏུ  ཕྱིན་པའོ  །_།  འཇིག  རྟེན 
 རོ ལ་ཏུ 						རོ	ལ་ཏུ 	ཕྱིན་པའོ 	།_། 	ཇི 	ལྟར 	bstod tshogs ka_.txt	     རོ ལ་ཏུ  ཕྱིན་པའོ  །_།  ཇི  ལྟར 
 རོ ལ་ཏུ 						རོ	ལ་ཏུ 	ཕྱིན་པའོ 	།_། 	ཁྱོད་ཀྱིས 	རྟག་ཏུ 	bstod tshogs ka_.txt	     རོ ལ་ཏུ  ཕྱིན་པའོ  །_།  ཁྱོད་ཀྱིས  རྟག་ཏུ 
 རོ ལ་ཏུ 						རོ	ལ་ཏུ 	ཕྱིན་པའོ 	།_། 	ཇི 	ལྟར 	bstod tshogs ka_.txt	     རོ ལ་ཏུ  ཕྱིན་པའོ  །_།  ཇི  ལྟར 
 རོ ལ་ཏུ 						རོ	ལ་ཏུ 	ཕྱིན་པ 	བསྟན་ཏོ 	།_། 	ཁྱོད་ཀྱི 	bstod tshogs ka_.txt	     རོ ལ་ཏུ  ཕྱིན་པ  བསྟན་ཏོ  །_།  ཁྱོད་ཀྱི 
 རོ ལ་ཏུ 						རོ	ལ་ཏུ 	ཕྱིན་པའོ 	།_། 	ཕྲིན་ལས 	མངའ་བ 	bstod tshogs ka_.txt	     རོ ལ་ཏུ  ཕྱིན་པའོ  །_།  ཕྲིན་ལས  མངའ་བ 
 རོ ལ་ཏུ 						རོ	ལ་ཏུ 	ཕྱིན་པའོ 	།_། 	དེ 	ལྟར 	bstod tshogs ka_.txt	     རོ ལ་ཏུ  ཕྱིན་པའོ  །_།  དེ  ལྟར 
 རོ ལ་ཏུ 						རོ	ལ་ཏུ 	ཕྱིན་པ་བདུན 	བསྟན་པ་ཡིན 	ནོ 	།_། 	bstod tshogs ka_.txt	     རོ ལ་ཏུ  ཕྱིན་པ་བདུན  བསྟན་པ་ཡིན  ནོ  །_། 
 རོ ལ 						རོ	ལ 	ཕྱིན་པ་བཅུ 	།_། 	གཞན་གྱི 	ཕ་རོལ 	bstod tshogs ka_.txt	     རོ ལ  ཕྱིན་པ་བཅུ  །_།  གཞན་གྱི  ཕ་རོལ 
སྟོང་ཉིད་དུ  རོ ་གཅིག་ཅིང 	འདི 	-ས 	ཆོས 	ཐམས་ཅད 	སྟོང་ཉིད་དུ 	རོ	་གཅིག་ཅིང 	མཉམ་མོ 	།_། 	འདི་ནི 	མཆོག་ཀྱང་ཡིན་ལ 	bstod tshogs ka_.txt	འདི  -ས  ཆོས  ཐམས་ཅད  སྟོང་ཉིད་དུ  རོ ་གཅིག་ཅིང  མཉམ་མོ  །_།  འདི་ནི  མཆོག་ཀྱང་ཡིན་ལ 
 རོ  །_། 						རོ 	།_། 	མཉམ་པ་ནི 	འདྲ་བ 	-འི 	དངོས་པོའོ 	bstod tshogs ka_.txt	     རོ  །_།  མཉམ་པ་ནི  འདྲ་བ  -འི  དངོས་པོའོ 
