 འགྱུར  །_། 						འགྱུར 	།_། 	རྗེས་སུ 	ཆགས 	དང་བ 	-ར 	bstod tshogs ka_.txt	     འགྱུར  །_།  རྗེས་སུ  ཆགས  དང་བ  -ར 
 འགྱུར  །_། 						འགྱུར 	།_། 	ཡུན 	རིང 	འཕེལ་བ 	-ར 	bstod tshogs ka_.txt	     འགྱུར  །_།  ཡུན  རིང  འཕེལ་བ  -ར 
 འགྱུར ་བ་ནི 						འགྱུར	་བ་ནི 	།_། 	ཐུགས 	རྗེ 	བརྩོན་འགྲུས 	bstod tshogs ka_.txt	     འགྱུར ་བ་ནི  །_།  ཐུགས  རྗེ  བརྩོན་འགྲུས 
 འགྱུར  །_། 						འགྱུར 	།_། 	དོན 	གཟིགས་པ 	-ས་ན 	མི 	bstod tshogs ka_.txt	     འགྱུར  །_།  དོན  གཟིགས་པ  -ས་ན  མི 
 འགྱུར  །_། 						འགྱུར 	།_། 	འཆི 	བདག 	བསྟན་པ 	ཁམས་གསུམ་གྱི 	bstod tshogs ka_.txt	     འགྱུར  །_།  འཆི  བདག  བསྟན་པ  ཁམས་གསུམ་གྱི 
 འགྱུར  །_། 						འགྱུར 	།_། 	ཁྱོད 	གསུང 	ཐོས་པ 	-ས 	bstod tshogs ka_.txt	     འགྱུར  །_།  ཁྱོད  གསུང  ཐོས་པ  -ས 
དགའ  འགྱུར ་ཏེ 					དགའ 	འགྱུར	་ཏེ 	།_། 	བསྟན་པ 	-ས 	རྣམ་པ 	bstod tshogs ka_.txt	    དགའ  འགྱུར ་ཏེ  །_།  བསྟན་པ  -ས  རྣམ་པ 
 འགྱུར  །_། 						འགྱུར 	།_། 	འཕེལ 	བས 	སྐྱེ་དགུ 	རྣམས་ཀྱང་དགའ 	bstod tshogs ka_.txt	     འགྱུར  །_།  འཕེལ  བས  སྐྱེ་དགུ  རྣམས་ཀྱང་དགའ 
 འགྱུར  །_། 						འགྱུར 	།_། 	བཙལ 	བས 	བློ་གྲོས 	སྐྱེ 	bstod tshogs ka_.txt	     འགྱུར  །_།  བཙལ  བས  བློ་གྲོས  སྐྱེ 
 འགྱུར ་ཏེ 						འགྱུར	་ཏེ 	།_། 	ཡོངས་སུ 	ཤེས་པ 	-ས 	bstod tshogs ka_.txt	     འགྱུར ་ཏེ  །_།  ཡོངས་སུ  ཤེས་པ  -ས 
