 སུ  བཅད་པ་གསུམ་གྱིས 						སུ 	བཅད་པ་གསུམ་གྱིས 	སྐུ་གསུམ 	བསྟན་ནས 	།_ 	གཞན་ཡང 	bstod tshogs ka_.txt	     སུ  བཅད་པ་གསུམ་གྱིས  སྐུ་གསུམ  བསྟན་ནས  །_  གཞན་ཡང 
 སུ  ཆད་པ 						སུ 	ཆད་པ 	མེད་པ 	-ར 	བསགས་པ་ནི 	དཔག་ཏུ 	bstod tshogs ka_.txt	     སུ  ཆད་པ  མེད་པ  -ར  བསགས་པ་ནི  དཔག་ཏུ 
དེ  སུ ་ཞིག་ཅེ་ན 	བྱུང་བ་ནི 	དེ་ལས 	སྐྱེས་པའོ 	།_། 	དེ 	སུ	་ཞིག་ཅེ་ན 	།_ 	བདེ 	བར 	གཤེགས་པ་སྟེ 	bstod tshogs ka_.txt	བྱུང་བ་ནི  དེ་ལས  སྐྱེས་པའོ  །_།  དེ  སུ ་ཞིག་ཅེ་ན  །_  བདེ  བར  གཤེགས་པ་སྟེ 
 སུ མ་ནི 						སུ	མ་ནི 	ཆོས་ཀྱི 	སྐུ་དང 	།_ 	ལོངས 	bstod tshogs ka_.txt	     སུ མ་ནི  ཆོས་ཀྱི  སྐུ་དང  །_  ལོངས 
 སུ མ་པའོ 						སུ	མ་པའོ 	།_། 	དེ 	བས་ན 	དེ 	bstod tshogs ka_.txt	     སུ མ་པའོ  །_།  དེ  བས་ན  དེ 
 སུ  ཡོད་པ 						སུ 	ཡོད་པ 	-འི་ཡིད་ཀྱི 	ཡུལ་ལས 	ཤིན་ཏུ 	འདས་པ 	bstod tshogs ka_.txt	     སུ  ཡོད་པ  -འི་ཡིད་ཀྱི  ཡུལ་ལས  ཤིན་ཏུ  འདས་པ 
 སུ མ 						སུ	མ 	ཐོབ་ཅིང 	རེག་ནས 	འགྲོ་བ 	མ 	bstod tshogs ka_.txt	     སུ མ  ཐོབ་ཅིང  རེག་ནས  འགྲོ་བ  མ 
 སུ མ་ལ 						སུ	མ་ལ 	བསྟོད་པ་ཞེས 	བྱ་བ 	-འི 	འགྲེལ་པ 	bstod tshogs ka_.txt	     སུ མ་ལ  བསྟོད་པ་ཞེས  བྱ་བ  -འི  འགྲེལ་པ 
 སུ  ཞུགས 						སུ 	ཞུགས 	གྱུར་པ 	།_། 	དེས་ནི 	ང་ཡང 	bstod tshogs ka_.txt	     སུ  ཞུགས  གྱུར་པ  །_།  དེས་ནི  ང་ཡང 
 སུ  བཅད་པ 						སུ 	བཅད་པ 	-འི 	སྒོ་ནས 	བསྡུས་པ 	རྫོགས་སོ 	bstod tshogs ka_.txt	     སུ  བཅད་པ  -འི  སྒོ་ནས  བསྡུས་པ  རྫོགས་སོ 
 སུ  འབྲང 						སུ 	འབྲང 	ལགས་པ 	།_། 	རྒྱུ 	སྐ 	bstod tshogs ka_.txt	     སུ  འབྲང  ལགས་པ  །_།  རྒྱུ  སྐ 
-ར  སུ  -ས 	།_། 	འདིར 	ཁྱོད 	བསྟོད་པ 	-ར 	སུ 	-ས 	རྔོ་ཐོགས 	།_། 	མཚན 	མ 	bstod tshogs ka_.txt	།_།  འདིར  ཁྱོད  བསྟོད་པ  -ར  སུ  -ས  རྔོ་ཐོགས  །_།  མཚན  མ 
 སུ ངས 						སུ	ངས 	།_། 	ཡེ 	ཤེས 	མཉམ་མེད 	bstod tshogs ka_.txt	     སུ ངས  །_།  ཡེ  ཤེས  མཉམ་མེད 
 སུ ངས 						སུ	ངས 	།_། 	ང་བོ 	ཉིད་ཀྱིས་དེ 	མ་སྐྱེས 	bstod tshogs ka_.txt	     སུ ངས  །_།  ང་བོ  ཉིད་ཀྱིས་དེ  མ་སྐྱེས 
 སུ ངས 						སུ	ངས 	།_། 	བྱིས་པ 	གང་དག་ཅི 	བརྗོད་པ 	bstod tshogs ka_.txt	     སུ ངས  །_།  བྱིས་པ  གང་དག་ཅི  བརྗོད་པ 
 སུ ངས 						སུ	ངས 	།_། 	གང 	ཚེ་ཅི 	ལ 	bstod tshogs ka_.txt	     སུ ངས  །_།  གང  ཚེ་ཅི  ལ 
 སུ ངས 						སུ	ངས 	།_། 	བློ 	ལྡན 	ཁྱོད་ཀྱིས 	bstod tshogs ka_.txt	     སུ ངས  །_།  བློ  ལྡན  ཁྱོད་ཀྱིས 
