 ལས  ཀུན་དུ 						ལས 	ཀུན་དུ 	འབྱུང 	_།_། 	རང་བཞིན 	དངོས་པོ 	bstod tshogs ka_.txt	     ལས  ཀུན་དུ  འབྱུང  _།_།  རང་བཞིན  དངོས་པོ 
 ལས ་ཀྱང་ནི 						ལས	་ཀྱང་ནི 	འབྱུང་བ་མེད 	།_། 	རང 	ཉིད 	bstod tshogs ka_.txt	     ལས ་ཀྱང་ནི  འབྱུང་བ་མེད  །_།  རང  ཉིད 
རང  ལས ་མ 	-འང 	རང་ལས་ཅི 	།_། 	དངོས་གང 	རང 	ལས	་མ 	མཆིས་ན 	།_། 	དེ 	ཚེ 	bstod tshogs ka_.txt	-འང  རང་ལས་ཅི  །_།  དངོས་གང  རང  ལས ་མ  མཆིས་ན  །_།  དེ  ཚེ 
 ལས  བྱུང་དང 						ལས 	བྱུང་དང 	།_། 	ཟླ་གཉིས་ལ 	སོགས 	མཐོང་བ་བཞིན 	bstod tshogs ka_.txt	     ལས  བྱུང་དང  །_།  ཟླ་གཉིས་ལ  སོགས  མཐོང་བ་བཞིན 
 ལས  སྐྱེས་པ 						ལས 	སྐྱེས་པ 	ཡོད 	མ་ལགས 	།_། 	དེ་ལ 	bstod tshogs ka_.txt	     ལས  སྐྱེས་པ  ཡོད  མ་ལགས  །_།  དེ་ལ 
རང  ལས ་མ 	ཐུབ་ཆེན་གང 	ཕྱིར 	སེམས་ཅན་རྣམས 	།_། 	རང 	ལས	་མ 	སྐྱེས་དེ་ཡི་ཕྱིར 	།_། 	གང་ཡང་གང་གིས 	མ 	bstod tshogs ka_.txt	ཐུབ་ཆེན་གང  ཕྱིར  སེམས་ཅན་རྣམས  །_།  རང  ལས ་མ  སྐྱེས་དེ་ཡི་ཕྱིར  །_།  གང་ཡང་གང་གིས  མ 
 ལས ་ནི 						ལས	་ནི 	གཞན 	གྱུར་པ 	།_། 	བརྗོད 	bstod tshogs ka_.txt	     ལས ་ནི  གཞན  གྱུར་པ  །_།  བརྗོད 
 ལས  སྟོང 						ལས 	སྟོང 	གཞན་མིན 	།_། 	དེ 	མེད་པ 	bstod tshogs ka_.txt	     ལས  སྟོང  གཞན་མིན  །_།  དེ  མེད་པ 
 ལས  བྱུང་བ 						ལས 	བྱུང་བ 	-འང་ལགས 	།_། 	གཞན་གྱི 	དབང་ལས 	bstod tshogs ka_.txt	     ལས  བྱུང་བ  -འང་ལགས  །_།  གཞན་གྱི  དབང་ལས 
 ལས  འདས་པ 						ལས 	འདས་པ 	-ར 	བསྟོད་པ 	།༄༅༅།_། 	རྒྱ 	bstod tshogs ka_.txt	     ལས  འདས་པ  -ར  བསྟོད་པ  །༄༅༅།_།  རྒྱ 
 ལས  འདས་པ 						ལས 	འདས་པ 	-ར 	བསྟོད་པ 	།_ 	འཇམ 	bstod tshogs ka_.txt	     ལས  འདས་པ  -ར  བསྟོད་པ  །_  འཇམ 
 ལས  གཤེགས་པ་ཡི 						ལས 	གཤེགས་པ་ཡི 	།_། 	དེ 	བཞིན 	གཤེགས་པ 	bstod tshogs ka_.txt	     ལས  གཤེགས་པ་ཡི  །_།  དེ  བཞིན  གཤེགས་པ 
 ལས  །_། 						ལས 	།_། 	རྣམ 	པར 	དབེན་པ 	-འི 	bstod tshogs ka_.txt	     ལས  །_།  རྣམ  པར  དབེན་པ  -འི 
 ལས  །_། 						ལས 	།_། 	མ 	ལོག་པ་ནི 	ངོ་མཚར་ལགས 	།_། 	bstod tshogs ka_.txt	     ལས  །_།  མ  ལོག་པ་ནི  ངོ་མཚར་ལགས  །_། 
 ལས  འདས་པ 						ལས 	འདས་པ 	-འི 	སྤྱོད་ཡུལ་གྱི 	།_། 	ཆོས 	bstod tshogs ka_.txt	     ལས  འདས་པ  -འི  སྤྱོད་ཡུལ་གྱི  །_།  ཆོས 
 ལས ་དེ 						ལས	་དེ 	མ་མཆིས 	།_། 	དངོས 	རྣམས 	bstod tshogs ka_.txt	     ལས ་དེ  མ་མཆིས  །_།  དངོས  རྣམས 
 ལས  ཇི་ལྟར་སྐྱེ 						ལས 	ཇི་ལྟར་སྐྱེ 	།_། 	དེ 	སྐད 	མཁས་པ 	bstod tshogs ka_.txt	     ལས  ཇི་ལྟར་སྐྱེ  །_།  དེ  སྐད  མཁས་པ 
 ལས  རབ 						ལས 	རབ 	གྲུབ་ན 	།_། 	ཚོགས་པ 	རྒྱུ་ལ 	bstod tshogs ka_.txt	     ལས  རབ  གྲུབ་ན  །_།  ཚོགས་པ  རྒྱུ་ལ 
 ལས ་ལ 						ལས	་ལ 	ནུས 	མ་ལགས 	།_། 	གཅིག་ལ 	bstod tshogs ka_.txt	     ལས ་ལ  ནུས  མ་ལགས  །_།  གཅིག་ལ 
