 ཏེ  ལེའུ་གསུམ་པའོ 						ཏེ 	ལེའུ་གསུམ་པའོ 	།།_།། 	དེ་ལ 	མངའ་དབང 	མཛད་པ་ནི 	bstod tshogs ka_.txt	     ཏེ  ལེའུ་གསུམ་པའོ  །།_།།  དེ་ལ  མངའ་དབང  མཛད་པ་ནི 
 ཏེ  །_། 						ཏེ 	།_། 	ཉིད་ཀྱི 	དོན་དང 	འགྲོ་བ 	ཆེན་པོ 	bstod tshogs ka_.txt	     ཏེ  །_།  ཉིད་ཀྱི  དོན་དང  འགྲོ་བ  ཆེན་པོ 
 ཏེ  །_ 						ཏེ 	།_ 	འདི 	ལྟར 	མཇུག་ཏུ 	།_། 	bstod tshogs ka_.txt	     ཏེ  །_  འདི  ལྟར  མཇུག་ཏུ  །_། 
 ཏེ  །_ 						ཏེ 	།_ 	རྣམ 	པར་མ 	དག་པ 	-འི 	bstod tshogs ka_.txt	     ཏེ  །_  རྣམ  པར་མ  དག་པ  -འི 
 ཏེ  དེ 						ཏེ 	དེ 	-འི 	འབྲས་བུ་དང 	མཐུན་པ 	-འི 	bstod tshogs ka_.txt	     ཏེ  དེ  -འི  འབྲས་བུ་དང  མཐུན་པ  -འི 
 ཏེ  །_ 						ཏེ 	།_ 	སེམས 	དང་བཅས་པ 	རྣམས་ནི 	བདག་ཉིད 	bstod tshogs ka_.txt	     ཏེ  །_  སེམས  དང་བཅས་པ  རྣམས་ནི  བདག་ཉིད 
 ཏེ  །_ 						ཏེ 	།_ 	འདི་ནི 	བསྡུས་པ 	-འི 	དོན་ཡིན་ནོ 	bstod tshogs ka_.txt	     ཏེ  །_  འདི་ནི  བསྡུས་པ  -འི  དོན་ཡིན་ནོ 
 ཏེ  རྣམ་པ 						ཏེ 	རྣམ་པ 	-ར 	དག་པ 	-འི 	མཐའ 	bstod tshogs ka_.txt	     ཏེ  རྣམ་པ  -ར  དག་པ  -འི  མཐའ 
 ཏེ  །_ 						ཏེ 	།_ 	སུ་དང་ཡང 	མཉམ་ཞིང 	མཚུངས་པ 	མེད་པའམ 	bstod tshogs ka_.txt	     ཏེ  །_  སུ་དང་ཡང  མཉམ་ཞིང  མཚུངས་པ  མེད་པའམ 
 ཏེ  །_ 						ཏེ 	།_ 	རྟོག་གེ་དང 	ལུང 	གསལ་བ 	-ས 	bstod tshogs ka_.txt	     ཏེ  །_  རྟོག་གེ་དང  ལུང  གསལ་བ  -ས 
 ཏེ  །_ 						ཏེ 	།_ 	དེ 	འཛིན་པ 	ཉིད་ཀྱི 	ཕྱིར 	bstod tshogs ka_.txt	     ཏེ  །_  དེ  འཛིན་པ  ཉིད་ཀྱི  ཕྱིར 
 ཏེ  །_ 						ཏེ 	།_ 	གཞན 	དག་ལ་ནི 	སྒྲིབ་པ 	-ས 	bstod tshogs ka_.txt	     ཏེ  །_  གཞན  དག་ལ་ནི  སྒྲིབ་པ  -ས 
 ཏེ  མི 						ཏེ 	མི 	གསལ་བ 	-ས 	མེད་པ་དང་འདྲའོ 	།_། 	bstod tshogs ka_.txt	     ཏེ  མི  གསལ་བ  -ས  མེད་པ་དང་འདྲའོ  །_། 
 ཏེ  །_ 						ཏེ 	།_ 	དེ 	དག་གི་དེ་ནི 	བསྐལ་བ་གྲངས 	མེད་པ 	bstod tshogs ka_.txt	     ཏེ  །_  དེ  དག་གི་དེ་ནི  བསྐལ་བ་གྲངས  མེད་པ 
