 ནས  འབར་བ 						ནས 	འབར་བ 	-ར 	སྣང་ཞིང 	འོད་དང 	ལྡན་པ 	bstod tshogs ka_.txt	     ནས  འབར་བ  -ར  སྣང་ཞིང  འོད་དང  ལྡན་པ 
 ནས ་གང་དུ 						ནས	་གང་དུ 	སྣང 	ཞེ་ན 	།_ 	སྨྲས་པ 	bstod tshogs ka_.txt	     ནས ་གང་དུ  སྣང  ཞེ་ན  །_  སྨྲས་པ 
 ནས  །_ 						ནས 	།_ 	གནས་ཀྱི 	མཆོག་དགའ 	ལྡན་གྱི 	གཞལ་ཡས་ཁང་ན 	bstod tshogs ka_.txt	     ནས  །_  གནས་ཀྱི  མཆོག་དགའ  ལྡན་གྱི  གཞལ་ཡས་ཁང་ན 
 ནས ་འོག 						ནས	་འོག 	མིན་དུ 	མངོན་པ 	-ར 	བྱང་ཆུབ་པ 	bstod tshogs ka_.txt	     ནས ་འོག  མིན་དུ  མངོན་པ  -ར  བྱང་ཆུབ་པ 
 ནས  སྤྲུལ་པ 						ནས 	སྤྲུལ་པ 	-འི 	སྐུས 	དེ་བཞིན 	གཤེགས་པ 	bstod tshogs ka_.txt	     ནས  སྤྲུལ་པ  -འི  སྐུས  དེ་བཞིན  གཤེགས་པ 
 ནས  །_ 						ནས 	།_ 	སླར་ཡང 	དགའ་ལྡན་གྱི 	གནས་མཆོག་ཏུ 	བཞུགས་པ 	bstod tshogs ka_.txt	     ནས  །_  སླར་ཡང  དགའ་ལྡན་གྱི  གནས་མཆོག་ཏུ  བཞུགས་པ 
 ནས  ལྷུམས་སུ 						ནས 	ལྷུམས་སུ 	འཇུག་པ་དང 	།_ 	བལྟམས་པ་དང 	།_ 	bstod tshogs ka_.txt	     ནས  ལྷུམས་སུ  འཇུག་པ་དང  །_  བལྟམས་པ་དང  །_ 
 ནས  ཇི་སྲིད་དུ 						ནས 	ཇི་སྲིད་དུ 	ཡོངས་སུ 	མྱ་ངན་ལས 	འདས་པ 	ཆེན་པོ 	bstod tshogs ka_.txt	     ནས  ཇི་སྲིད་དུ  ཡོངས་སུ  མྱ་ངན་ལས  འདས་པ  ཆེན་པོ 
 ནས ་ནི 						ནས	་ནི 	ཉམས 	དགའ་བར 	།_། 	གཙང 	bstod tshogs ka_.txt	     ནས ་ནི  ཉམས  དགའ་བར  །_།  གཙང 
 ནས ་ཀྱི 						ནས	་ཀྱི 	སྟེང 	བཞུགས་ཏེ 	།_། 	ཡང 	bstod tshogs ka_.txt	     ནས ་ཀྱི  སྟེང  བཞུགས་ཏེ  །_།  ཡང 
 ནས  །_ 						ནས 	།_ 	གཞན་ཡང 	སྨོན་ལམ 	བྱེད་པ 	-ར 	bstod tshogs ka_.txt	     ནས  །_  གཞན་ཡང  སྨོན་ལམ  བྱེད་པ  -ར 
 ནས  འགྲོ་བ 						ནས 	འགྲོ་བ 	མ 	ལུས་ཤིང 	ལྷག་མ 	མེད་པ 	bstod tshogs ka_.txt	     ནས  འགྲོ་བ  མ  ལུས་ཤིང  ལྷག་མ  མེད་པ 
 ནས  རྣམ་བཤད་ཀྱིས 						ནས 	རྣམ་བཤད་ཀྱིས 	།_། 	མཆོག་ཏུ 	མཁས་ཤིང 	དོན་གྱི 	bstod tshogs ka_.txt	     ནས  རྣམ་བཤད་ཀྱིས  །_།  མཆོག་ཏུ  མཁས་ཤིང  དོན་གྱི 
 ནས  གནས་པ 						ནས 	གནས་པ 	-ར 	གྱུར་པ 	ལྷུང་བ 	གང་ཡིན་པ 	bstod tshogs ka_.txt	     ནས  གནས་པ  -ར  གྱུར་པ  ལྷུང་བ  གང་ཡིན་པ 
 ནས  མཆོད་པ 						ནས 	མཆོད་པ 	-ར 	གྱུར་ཀྱང 	དེ 	-ས་ནི 	bstod tshogs ka_.txt	     ནས  མཆོད་པ  -ར  གྱུར་ཀྱང  དེ  -ས་ནི 
 ནས  ང་ཡིས 						ནས 	ང་ཡིས 	ཡོངས 	བཏང་བ 	།_། 	དེས་ན་དེ་ལ 	bstod tshogs ka_.txt	     ནས  ང་ཡིས  ཡོངས  བཏང་བ  །_།  དེས་ན་དེ་ལ 
 ནས  སངས་རྒྱས 						ནས 	སངས་རྒྱས 	མཉེས་དང 	དགེ་བ་བྱས 	།_། 	སེམས 	bstod tshogs ka_.txt	     ནས  སངས་རྒྱས  མཉེས་དང  དགེ་བ་བྱས  །_།  སེམས 
 ནས  ཕ་རོལ 						ནས 	ཕ་རོལ 	ཕྱིན་པ་ཐོབ 	།_། 	སེམས 	ཅན 	bstod tshogs ka_.txt	     ནས  ཕ་རོལ  ཕྱིན་པ་ཐོབ  །_།  སེམས  ཅན 
 ནས  ཕན 						ནས 	ཕན 	འདི་བསྒྲུབས 	།_། 	བདེ 	བར 	bstod tshogs ka_.txt	     ནས  ཕན  འདི་བསྒྲུབས  །_།  བདེ  བར 
 ནས ་པ 						ནས	་པ 	-ར་གྱིས 	།_། 	ཐོས་པ 	-ས 	bstod tshogs ka_.txt	     ནས ་པ  -ར་གྱིས  །_།  ཐོས་པ  -ས 
 ནས  བསྡུས་པ 						ནས 	བསྡུས་པ 	རྫོགས་སོ 	།_། 	རྒྱ 	གར་གྱི 	bstod tshogs ka_.txt	     ནས  བསྡུས་པ  རྫོགས་སོ  །_།  རྒྱ  གར་གྱི 
 ནས  །_། 						ནས 	།_། 	ཐུགས 	རྗེ 	-འི 	བདག་ཉིད 	bstod tshogs ka_.txt	     ནས  །_།  ཐུགས  རྗེ  -འི  བདག་ཉིད 
 ནས  །_། 						ནས 	།_། 	དེ་དང 	དེ་བཞིན 	གཤེགས 	རྣམས་ཀྱིས 	bstod tshogs ka_.txt	     ནས  །_།  དེ་དང  དེ་བཞིན  གཤེགས  རྣམས་ཀྱིས 
 ནས  མ 						ནས 	མ 	བྱོན་ཞིང 	།_། 	གང་དུ་ཡང་ནི 	མི 	bstod tshogs ka_.txt	     ནས  མ  བྱོན་ཞིང  །_།  གང་དུ་ཡང་ནི  མི 
 ནས ་ནི 						ནས	་ནི 	ཐམས་ཅད 	དག་ཏུ་ཡང 	།_། 	མཁས་པ 	bstod tshogs ka_.txt	     ནས ་ནི  ཐམས་ཅད  དག་ཏུ་ཡང  །_།  མཁས་པ 
 ནས  །_། 						ནས 	།_། 	བསམ་པ་ཡིས་ནི 	བསྒྲུབས་པ་དང 	།_། 	བསྒྲུབས་པ་ལས་ནི 	bstod tshogs ka_.txt	     ནས  །_།  བསམ་པ་ཡིས་ནི  བསྒྲུབས་པ་དང  །_།  བསྒྲུབས་པ་ལས་ནི 
 ནས ་ནི 						ནས	་ནི 	།_། 	བརྩེ 	བས 	འཇིག་རྟེན་མགོན 	bstod tshogs ka_.txt	     ནས ་ནི  །_།  བརྩེ  བས  འཇིག་རྟེན་མགོན 
 ནས  །_། 						ནས 	།_། 	བྲག 	ཅ 	ཀུན་དུ 	འབྱུང་བ་ལྟར 	bstod tshogs ka_.txt	     ནས  །_།  བྲག  ཅ  ཀུན་དུ  འབྱུང་བ་ལྟར 
 ནས  མཉམ 						ནས 	མཉམ 	གྱུར་པ 	།_། 	རང 	བཞིན་གྱིས་ཀྱང 	bstod tshogs ka_.txt	     ནས  མཉམ  གྱུར་པ  །_།  རང  བཞིན་གྱིས་ཀྱང 
 ནས  །_། 						ནས 	།_། 	དེས་ན 	འཇིག་རྟེན 	མི 	ཤེས་པས 	bstod tshogs ka_.txt	     ནས  །_།  དེས་ན  འཇིག་རྟེན  མི  ཤེས་པས 
 ནས  ཞི་བ་ཉིད 						ནས 	ཞི་བ་ཉིད 	།_། 	སྐྱེས་པ 	ཉིད 	ན 	bstod tshogs ka_.txt	     ནས  ཞི་བ་ཉིད  །_།  སྐྱེས་པ  ཉིད  ན 
 ནས  མེད་ཅེས་པ 						ནས 	མེད་ཅེས་པ 	།_། 	ཆད་པ 	ལགས 	པར 	bstod tshogs ka_.txt	     ནས  མེད་ཅེས་པ  །_།  ཆད་པ  ལགས  པར 
 ནས  །_། 						ནས 	།_། 	ལྟ་བ 	ཐམས་ཅད 	འགོག 	བྱེད་པའི 	bstod tshogs ka_.txt	     ནས  །_།  ལྟ་བ  ཐམས་ཅད  འགོག  བྱེད་པའི 
 ནས  མཛད་པ 						ནས 	མཛད་པ 	རྫོགས་སོ 	།།_།།༄༅།_། 	བསྟོད་པ་ལས 	འདས་པ 	bstod tshogs ka_.txt	     ནས  མཛད་པ  རྫོགས་སོ  །།_།།༄༅།_།  བསྟོད་པ་ལས  འདས་པ 
 ནས ་ཀྱང་ནི 						ནས	་ཀྱང་ནི 	མཆི་མ་ལགས 	།_། 	གང་དུ་ཡང་ནི 	མཆིས 	bstod tshogs ka_.txt	     ནས ་ཀྱང་ནི  མཆི་མ་ལགས  །_།  གང་དུ་ཡང་ནི  མཆིས 
 ནས  ཡོད་པ་དང 						ནས 	ཡོད་པ་དང 	།_། 	མེད་པ 	ཉིད 	ལ 	bstod tshogs ka_.txt	     ནས  ཡོད་པ་དང  །_།  མེད་པ  ཉིད  ལ 
 ནས  གསུངས་པ་དང 						ནས 	གསུངས་པ་དང 	།_། 	གང 	དག་གིས་ནི 	དེ་ལྟར་རྟོགས 	bstod tshogs ka_.txt	     ནས  གསུངས་པ་དང  །_།  གང  དག་གིས་ནི  དེ་ལྟར་རྟོགས 
 ནས  མཛད་པ 						ནས 	མཛད་པ 	རྫོགས་སོ 	།།_།།༄༅།_། 	བླ་ན 	མེད་པ 	bstod tshogs ka_.txt	     ནས  མཛད་པ  རྫོགས་སོ  །།_།།༄༅།_།  བླ་ན  མེད་པ 
 ནས  མཛད་པ 						ནས 	མཛད་པ 	རྫོགས་སོ 	།།_།།༄༅།_། 	འཕགས་པ 	རྗེ་བཙུན 	bstod tshogs ka_.txt	     ནས  མཛད་པ  རྫོགས་སོ  །།_།།༄༅།_།  འཕགས་པ  རྗེ་བཙུན 
 ནས ་ཤིང 						ནས	་ཤིང 	།_། 	སྙིང 	རྗེས 	ཞི་ལ 	bstod tshogs ka_.txt	     ནས ་ཤིང  །_།  སྙིང  རྗེས  ཞི་ལ 
 ནས ་ཏེ 						ནས	་ཏེ 	།_། 	མྱ་ངན 	འདས་དང 	འཁོར 	bstod tshogs ka_.txt	     ནས ་ཏེ  །_།  མྱ་ངན  འདས་དང  འཁོར 
 ནས  །_། 						ནས 	།_། 	མི 	གནས 	ཁྱོད་ལ 	ཕྱག 	bstod tshogs ka_.txt	     ནས  །_།  མི  གནས  ཁྱོད་ལ  ཕྱག 
 ནས ་ཤིང 						ནས	་ཤིང 	།_། 	ཆོས 	ཀུན 	རྟོགས་པ 	bstod tshogs ka_.txt	     ནས ་ཤིང  །_།  ཆོས  ཀུན  རྟོགས་པ 
 ནས  མཛད་པ 						ནས 	མཛད་པ 	རྫོགས་སོ 	།།༄༅།_། 	རྗེ་བཙུན 	འཕགས་པ 	bstod tshogs ka_.txt	     ནས  མཛད་པ  རྫོགས་སོ  །།༄༅།_།  རྗེ་བཙུན  འཕགས་པ 
 ནས  ཆེན་པོ 						ནས 	ཆེན་པོ 	བརྒྱད་ཀྱི 	མཆོད་རྟེན་ལ 	བསྟོད་པ 	།༄༅༅།_། 	bstod tshogs ka_.txt	     ནས  ཆེན་པོ  བརྒྱད་ཀྱི  མཆོད་རྟེན་ལ  བསྟོད་པ  །༄༅༅།_། 
