 ཞེས  མི་བརྟག 						ཞེས 	མི་བརྟག 	_། 	ཇི 	ལྟར 	སྦུན་པ་ལས 	bstod tshogs ka_.txt	     ཞེས  མི་བརྟག  _།  ཇི  ལྟར  སྦུན་པ་ལས 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	།_ 	འཇིག 	རྟེན 	མགོན་པོ་ལ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  །_  འཇིག  རྟེན  མགོན་པོ་ལ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	སློབ་དཔོན 	ཆེན་པོ 	ཀླུ་སྒྲུབ་ཀྱིས 	མཛད་པ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  སློབ་དཔོན  ཆེན་པོ  ཀླུ་སྒྲུབ་ཀྱིས  མཛད་པ 
 ཞེས  བྱ 						ཞེས 	བྱ 	བ 	།༄༅༅།_། 	རྒྱ 	གར 	bstod tshogs ka_.txt	     ཞེས  བྱ  བ  །༄༅༅།_།  རྒྱ  གར 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	།_ 	ཐམས་ཅད 	མཁྱེན་པ་ལ 	ཕྱག 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  །_  ཐམས་ཅད  མཁྱེན་པ་ལ  ཕྱག 
 ཞེས ་ཅི་ཞིག་སྨོས 						ཞེས	་ཅི་ཞིག་སྨོས 	།_། 	ཁྱོད་ཀྱི 	ཡོན་ཏན 	སླད་དུ་བདག 	bstod tshogs ka_.txt	     ཞེས ་ཅི་ཞིག་སྨོས  །_།  ཁྱོད་ཀྱི  ཡོན་ཏན  སླད་དུ་བདག 
 ཞེས  བྱ་བ་ལས 						ཞེས 	བྱ་བ་ལས 	བསྟོད་པ 	གླེང 	བསླང་བ་ཞེས 	བྱ་བ་སྟེ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ལས  བསྟོད་པ  གླེང  བསླང་བ་ཞེས  བྱ་བ་སྟེ 
 ཞེས  །_། 						ཞེས 	།_། 	སྙིང 	རྗེ 	རྣམ་པ 	-ར 	bstod tshogs ka_.txt	     ཞེས  །_།  སྙིང  རྗེ  རྣམ་པ  -ར 
 ཞེས  ཐུགས་ལ་བཞག 						ཞེས 	ཐུགས་ལ་བཞག 	_། 	ཉེས 	བཤད 	དུག 	bstod tshogs ka_.txt	     ཞེས  ཐུགས་ལ་བཞག  _།  ཉེས  བཤད  དུག 
 ཞེས  བྱ་བ་ལས 						ཞེས 	བྱ་བ་ལས 	རྒྱུ 	-འི 	སྒོ་ནས 	བསྟོད་པ་ཞེས 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ལས  རྒྱུ  -འི  སྒོ་ནས  བསྟོད་པ་ཞེས 
 ཞེས  བྱ་བ་ལས 						ཞེས 	བྱ་བ་ལས 	དཔེ་མེད 	པར 	བསྟོད་པ་ཞེས 	བྱ་བ་སྟེ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ལས  དཔེ་མེད  པར  བསྟོད་པ་ཞེས  བྱ་བ་སྟེ 
 ཞེས  བྱ་སྟེ 						ཞེས 	བྱ་སྟེ 	།_། 	དམ 	ཆོས 	རབ་ཏུ 	bstod tshogs ka_.txt	     ཞེས  བྱ་སྟེ  །_།  དམ  ཆོས  རབ་ཏུ 
