 ན ་གྱིས 						ན	་གྱིས 	།_། 	རྣམ 	རྟོག 	བཞི་པོ 	bstod tshogs ka_.txt	     ན ་གྱིས  །_།  རྣམ  རྟོག  བཞི་པོ 
 ན ་ལམ་ཡང 						ན	་ལམ་ཡང 	_།_། 	སྣང་བ 	མེད་ཅིང 	མཚན་ཉིད་མེད 	bstod tshogs ka_.txt	     ན ་ལམ་ཡང  _།_།  སྣང་བ  མེད་ཅིང  མཚན་ཉིད་མེད 
 ན ་ཉིད 						ན	་ཉིད 	།_། 	སངས 	རྒྱས 	རྟག་པ 	bstod tshogs ka_.txt	     ན ་ཉིད  །_།  སངས  རྒྱས  རྟག་པ 
 ན  །_། 						ན 	།_། 	ཇི 	ལྟར 	རི་བོང 	མགོ་ཡི་རྭ 	bstod tshogs ka_.txt	     ན  །_།  ཇི  ལྟར  རི་བོང  མགོ་ཡི་རྭ 
 ན  ཆོས 						ན 	ཆོས 	རྣམས 	ཐམས་ཅད་ཀྱང 	_།_། 	བརྟགས་པ 	bstod tshogs ka_.txt	     ན  ཆོས  རྣམས  ཐམས་ཅད་ཀྱང  _།_།  བརྟགས་པ 
 ན  །_། 						ན 	།_། 	ཕྲ 	རབ 	རྡུལ་གྱི 	ངོ་བོ་ཡིས 	bstod tshogs ka_.txt	     ན  །_།  ཕྲ  རབ  རྡུལ་གྱི  ངོ་བོ་ཡིས 
 ན  །_། 						ན 	།_། 	ཇི 	ལྟར 	སྔོན་བཞིན 	ཕྱིས་དེ་བཞིན 	bstod tshogs ka_.txt	     ན  །_།  ཇི  ལྟར  སྔོན་བཞིན  ཕྱིས་དེ་བཞིན 
 ན ་ནས 						ན	་ནས 	འབྱུང་བ 	-ར 	གྱུར་པ་དང 	_།_། 	bstod tshogs ka_.txt	     ན ་ནས  འབྱུང་བ  -ར  གྱུར་པ་དང  _།_། 
 ན ་ནས 						ན	་ནས 	འགག་པ 	-ར 	འགྱུར་བ 	-ས་ན 	bstod tshogs ka_.txt	     ན ་ནས  འགག་པ  -ར  འགྱུར་བ  -ས་ན 
 ན ་ན 						ན	་ན 	།_། 	བྱིས་པ 	ཇི་ལྟར 	རྟོག་པ 	bstod tshogs ka_.txt	     ན ་ན  །_།  བྱིས་པ  ཇི་ལྟར  རྟོག་པ 
