 སྟེ  །_། 						སྟེ 	།_། 	ཁྱོད་ཀྱི 	གསུང་ནི་ལེགས་གསུམ་ལྡན 	།_། 	ཟབ་པ་དང་ནི 	bstod tshogs ka_.txt	     སྟེ  །_།  ཁྱོད་ཀྱི  གསུང་ནི་ལེགས་གསུམ་ལྡན  །_།  ཟབ་པ་དང་ནི 
 སྟེ  ལེའུ་བདུན་པའོ 						སྟེ 	ལེའུ་བདུན་པའོ 	།།_།། 	བགྲོད་པ 	གཅིག་དང 	ཐབས་བདེ་དང 	bstod tshogs ka_.txt	     སྟེ  ལེའུ་བདུན་པའོ  །།_།།  བགྲོད་པ  གཅིག་དང  ཐབས་བདེ་དང 
 སྟེ  །_། 						སྟེ 	།_། 	དེ 	ལམ་འབྲས 	བུ 	བསྟན་པ 	bstod tshogs ka_.txt	     སྟེ  །_།  དེ  ལམ་འབྲས  བུ  བསྟན་པ 
མུ  སྟེ གས 	དཔའ་བོ 	ཁྱོད་ཀྱི 	བསྟན་པ་འདི 	།_། 	མུ 	སྟེ	གས 	ཐམས་ཅད 	སྐྲག 	མཛད་ལ 	།_། 	bstod tshogs ka_.txt	དཔའ་བོ  ཁྱོད་ཀྱི  བསྟན་པ་འདི  །_།  མུ  སྟེ གས  ཐམས་ཅད  སྐྲག  མཛད་ལ  །_། 
མུ  སྟེ གས 	གནས་དང 	བྲལ་བ 	-འི་ཕྱིར 	།_། 	མུ 	སྟེ	གས 	གཞན་གྱི 	མཐོང 	བཞིན་ཡང 	།_། 	bstod tshogs ka_.txt	གནས་དང  བྲལ་བ  -འི་ཕྱིར  །_།  མུ  སྟེ གས  གཞན་གྱི  མཐོང  བཞིན་ཡང  །_། 
 སྟེ  ལེའུ 						སྟེ 	ལེའུ 	བརྒྱད་པའོ 	།།_།། 	གང་ཞིག 	སྔ་མ 	bstod tshogs ka_.txt	     སྟེ  ལེའུ  བརྒྱད་པའོ  །།_།།  གང་ཞིག  སྔ་མ 
 སྟེ ན་པ 						སྟེ	ན་པ 	-ས 	བློ་གྲོས 	མཆོག་ཏུ་འགྱུར 	།_། 	bstod tshogs ka_.txt	     སྟེ ན་པ  -ས  བློ་གྲོས  མཆོག་ཏུ་འགྱུར  །_། 
 སྟེ ན་ན 						སྟེ	ན་ན 	འཇིགས་པ 	མེད་པ 	-ར་མཛད 	།_། 	bstod tshogs ka_.txt	     སྟེ ན་ན  འཇིགས་པ  མེད་པ  -ར་མཛད  །_། 
 སྟེ  །_། 						སྟེ 	།_། 	བ 	ར 	དྭ 	ཛ་ལ 	bstod tshogs ka_.txt	     སྟེ  །_།  བ  ར  དྭ  ཛ་ལ 
 སྟེ  །_། 						སྟེ 	།_། 	སྲིད་པ 	-འི 	འཇིགས་པ 	-ས 	bstod tshogs ka_.txt	     སྟེ  །_།  སྲིད་པ  -འི  འཇིགས་པ  -ས 
 སྟེ  ལེའུ 						སྟེ 	ལེའུ 	དགུ་པའོ 	།།_།། 	སྔ 	ཕྱིར 	bstod tshogs ka_.txt	     སྟེ  ལེའུ  དགུ་པའོ  །།_།།  སྔ  ཕྱིར 
 སྟེ  ལེའུ 						སྟེ 	ལེའུ 	བཅུ་པའོ 	།།_།། 	མཉེལ་དང 	ཞི་བདེ 	bstod tshogs ka_.txt	     སྟེ  ལེའུ  བཅུ་པའོ  །།_།།  མཉེལ་དང  ཞི་བདེ 
 སྟེ  །_། 						སྟེ 	།_། 	གང 	ཕྱིར 	གཞན་མ 	སྤངས་ནས་ཀྱང 	bstod tshogs ka_.txt	     སྟེ  །_།  གང  ཕྱིར  གཞན་མ  སྤངས་ནས་ཀྱང 
 སྟེ  །_། 						སྟེ 	།_། 	ཉིད་ཀྱི 	སྒྲུབ་པ 	བཟང་པོ་ལས 	།_། 	bstod tshogs ka_.txt	     སྟེ  །_།  ཉིད་ཀྱི  སྒྲུབ་པ  བཟང་པོ་ལས  །_། 
 སྟེ  །_། 						སྟེ 	།_། 	ཁྱོད་ཀྱིས 	སྡང་བ 	བྱམས་པ 	-ས་བཏུལ 	bstod tshogs ka_.txt	     སྟེ  །_།  ཁྱོད་ཀྱིས  སྡང་བ  བྱམས་པ  -ས་བཏུལ 
 སྟེ  ལེའུ 						སྟེ 	ལེའུ 	བཅུ་གཅིག་པའོ 	།།_།། 	རྩུབ་པོ་དང 	འཇམ 	bstod tshogs ka_.txt	     སྟེ  ལེའུ  བཅུ་གཅིག་པའོ  །།_།།  རྩུབ་པོ་དང  འཇམ 
 སྟེ  །_། 						སྟེ 	།_། 	བཀྲ 	ཤིས 	གཞན་དོན་དུ 	ལྡན་པའི 	bstod tshogs ka_.txt	     སྟེ  །_།  བཀྲ  ཤིས  གཞན་དོན་དུ  ལྡན་པའི 
 སྟེ  ལེའུ 						སྟེ 	ལེའུ 	བཅུ་གཉིས་པའོ 	།།_།། 	གང 	ཕྱིར 	bstod tshogs ka_.txt	     སྟེ  ལེའུ  བཅུ་གཉིས་པའོ  །།_།།  གང  ཕྱིར 
 སྟེ ང 						སྟེ	ང 	དམ་ཆོས་བཤད 	།_། 	འཇིག 	རྟེན་གསུམ 	bstod tshogs ka_.txt	     སྟེ ང  དམ་ཆོས་བཤད  །_།  འཇིག  རྟེན་གསུམ 
 སྟེ  ལེའུ 						སྟེ 	ལེའུ 	བཅུ་གསུམ་པའོ 	།།_།། 	སྤེལ 	མར 	bstod tshogs ka_.txt	     སྟེ  ལེའུ  བཅུ་གསུམ་པའོ  །།_།།  སྤེལ  མར 
 སྟེ  །_ 						སྟེ 	།_ 	ཡོན་ཏན 	ཡོངས་སུ 	མི 	ཤེས་པ་དང 	bstod tshogs ka_.txt	     སྟེ  །_  ཡོན་ཏན  ཡོངས་སུ  མི  ཤེས་པ་དང 
 སྟེ  །_ 						སྟེ 	།_ 	སྡུག 	བསྔལ 	བསྐྱེད་པ 	ལ་སོ 	bstod tshogs ka_.txt	     སྟེ  །_  སྡུག  བསྔལ  བསྐྱེད་པ  ལ་སོ 
 སྟེ  །_ 						སྟེ 	།_ 	རིགས་དང 	དགེ་བཤེས 	སྙིང་རྗེ་དང 	།_། 	bstod tshogs ka_.txt	     སྟེ  །_  རིགས་དང  དགེ་བཤེས  སྙིང་རྗེ་དང  །_། 
 སྟེ  །_ 						སྟེ 	།_ 	དེ 	ལྟར་ན 	དོན 	བཅུས་ནི 	bstod tshogs ka_.txt	     སྟེ  །_  དེ  ལྟར་ན  དོན  བཅུས་ནི 
 སྟེ  །_ 						སྟེ 	།_ 	རེ་ཞིག་དེ་ལ 	སྡུག་བསྔལ 	རྣམས་ཀྱིས 	སྨས་པ 	bstod tshogs ka_.txt	     སྟེ  །_  རེ་ཞིག་དེ་ལ  སྡུག་བསྔལ  རྣམས་ཀྱིས  སྨས་པ 
 སྟེ  །_ 						སྟེ 	།_ 	དེ་ལ 	རེ་ཞིག 	སྨད་པ 	-འི 	bstod tshogs ka_.txt	     སྟེ  །_  དེ་ལ  རེ་ཞིག  སྨད་པ  -འི 
 སྟེ ་དང་པོའོ 						སྟེ	་དང་པོའོ 	།།_།། 	སྦྱོར 	བ 	-འི 	bstod tshogs ka_.txt	     སྟེ ་དང་པོའོ  །།_།།  སྦྱོར  བ  -འི 
 སྟེ  །_ 						སྟེ 	།_ 	འདི 	ལྟར 	སྦྱིན་པ་དང 	།_ 	bstod tshogs ka_.txt	     སྟེ  །_  འདི  ལྟར  སྦྱིན་པ་དང  །_ 
 སྟེ  །_ 						སྟེ 	།_ 	སྦྱིན་པ 	-འི 	ཕ་རོལ་ཏུ 	ཕྱིན་པའོ 	bstod tshogs ka_.txt	     སྟེ  །_  སྦྱིན་པ  -འི  ཕ་རོལ་ཏུ  ཕྱིན་པའོ 
 སྟེ  །_ 						སྟེ 	།_ 	ཉོན་མོངས་པ་དང 	།_ 	སྐྱེ་བ་དང 	།_ 	bstod tshogs ka_.txt	     སྟེ  །_  ཉོན་མོངས་པ་དང  །_  སྐྱེ་བ་དང  །_ 
 སྟེ  བཞི་པའོ 						སྟེ 	བཞི་པའོ 	།།_།། 	འཇིག 	རྟེན 	མ་རིག 	bstod tshogs ka_.txt	     སྟེ  བཞི་པའོ  །།_།།  འཇིག  རྟེན  མ་རིག 
 སྟེ  ལྔ་པའོ 						སྟེ 	ལྔ་པའོ 	།།_།། 	དེ་ལ 	ནམ་མཁའ 	-འི་དཀྱིལ་ན་ཞེས 	bstod tshogs ka_.txt	     སྟེ  ལྔ་པའོ  །།_།།  དེ་ལ  ནམ་མཁའ  -འི་དཀྱིལ་ན་ཞེས 
