 ནོ ད་སེམས 						ནོ	ད་སེམས 	ལེ་ལོ་དང 	_།_། 	རྒོད་པ་དང་ནི 	ཐེ་ཚོམ་སྟེ 	bstod tshogs ka_.txt	     ནོ ད་སེམས  ལེ་ལོ་དང  _།_།  རྒོད་པ་དང་ནི  ཐེ་ཚོམ་སྟེ 
 ནོ  །_། 						ནོ 	།_། 	ཡང་ན 	ཆོས་ཀྱི 	དབྱིངས 	ཤིན་ཏུ 	bstod tshogs ka_.txt	     ནོ  །_།  ཡང་ན  ཆོས་ཀྱི  དབྱིངས  ཤིན་ཏུ 
 ནོ  །_། 						ནོ 	།_། 	གཞན 	དག 	ན་རེ 	མཆོག་ནི 	bstod tshogs ka_.txt	     ནོ  །_།  གཞན  དག  ན་རེ  མཆོག་ནི 
 ནོ  །_། 						ནོ 	།_། 	དེ་ལ 	ཀླན་ཀ 	ངན་པ་ནི 	འདི་ཡིན་ཏེ 	bstod tshogs ka_.txt	     ནོ  །_།  དེ་ལ  ཀླན་ཀ  ངན་པ་ནི  འདི་ཡིན་ཏེ 
 ནོ  །_། 						ནོ 	།_། 	དེ 	བས་ན 	དཔེ་མེད་པ 	ཉིད 	bstod tshogs ka_.txt	     ནོ  །_།  དེ  བས་ན  དཔེ་མེད་པ  ཉིད 
 ནོ  །_། 						ནོ 	།_། 	དེའི 	ཆ་ནི 	མོས་པ 	-ས 	bstod tshogs ka_.txt	     ནོ  །_།  དེའི  ཆ་ནི  མོས་པ  -ས 
 ནོ  །_། 						ནོ 	།_། 	ཇི 	ལྟར་དེ་དང་ཡང 	ནམ་མཁའ 	མཚུངས་པ 	bstod tshogs ka_.txt	     ནོ  །_།  ཇི  ལྟར་དེ་དང་ཡང  ནམ་མཁའ  མཚུངས་པ 
 ནོ  །_། 						ནོ 	།_། 	དེ 	དག་གི 	གྲུབ་པ་ནི 	ཡོངས་སུ 	bstod tshogs ka_.txt	     ནོ  །_།  དེ  དག་གི  གྲུབ་པ་ནི  ཡོངས་སུ 
 ནོ  །_། 						ནོ 	།_། 	ཅིའི 	ཕྱིར 	དེ་དག 	དེ་ལྟ 	bstod tshogs ka_.txt	     ནོ  །_།  ཅིའི  ཕྱིར  དེ་དག  དེ་ལྟ 
 ནོ  །_། 						ནོ 	།_། 	དེ 	དག་ལ 	རང་གི 	ཡོན་ཏན 	bstod tshogs ka_.txt	     ནོ  །_།  དེ  དག་ལ  རང་གི  ཡོན་ཏན 
 ནོ  །_། 						ནོ 	།_། 	དེ་ནི 	དཔེ 	-ས 	མཚོན་པ 	bstod tshogs ka_.txt	     ནོ  །_།  དེ་ནི  དཔེ  -ས  མཚོན་པ 
